bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,available_copies,publication_date,publisher,subject
2823,Gone South,Robert R. McCammon,3.93,671743074,9.78067E+12,eng,400,4849,228,08/01/93,Pocket Books,{}
3129,Turtle Island,Gary Snyder/Michael Corr,4.09,811205460,9.78081E+12,eng,112,3809,105,1/17/1974,New Directions,{}
3240,Human Traces,Sebastian Faulks,3.63,99458268,9.7801E+12,eng,793,3541,274,07/06/06,Vintage,"{''Psychiatrists'',''History''}"
3483,A Certain Justice (Abe Glitsky  #1),John Lescroart,4.01,451217764,9.78045E+12,eng,624,2993,107,02/07/06,Signet,
3599,said the shotgun to the head.,Saul Williams,4.22,743470796,9.78074E+12,en-US,192,2762,214,09/01/03,MTV Books,{}
3788,Open House,Jill Mansell,3.9,074726743X,9.78075E+12,en-US,448,2440,65,03/03/03,Headline,{}
3905,The Book of Embraces,Eduardo Galeano/Cedric Belfrage/Mark Schafer,4.3,393308553,9.78039E+12,eng,288,2221,165,4/17/1992,W.W. Norton & Company,{}
3978,Maps for Lost Lovers,Nadeem Aslam,3.78,1400076978,9.7814E+12,eng,400,2127,277,05/09/06,Vintage,{}
3906,Tell Me No Lies,Elizabeth Lowell,3.99,373771258,9.78037E+12,en-US,576,2221,65,1/31/2006,HQN,{}
4276,When She Was Good,Philip Roth,3.53,679759255,9.78068E+12,eng,320,1748,149,1/31/1995,Vintage,{}
3982,The Time of the Ghost,Diana Wynne Jones,3.66,64473546,9.78006E+12,eng,291,2122,123,01/01/81,HarperTrophy,"{''Fiction'',''Supernatural''}"
3983,Europe Central,William T. Vollmann,3.92,143036599,9.78014E+12,en-US,811,2121,247,12/01/05,Penguin,{}
3984,GraceLand,Chris Abani,3.78,312425287,9.78031E+12,en-US,336,2121,202,1/26/2005,Picador,"{''Bildungsromans'',''Fiction''}"
4322,The Wind Done Gone,Alice Randall,3.07,618219064,9.78062E+12,eng,224,1698,283,04/08/02,Mariner Books,{}
4133,House of Meetings,Martin Amis,3.41,1400044553,9.7814E+12,eng,241,1917,206,1/16/2007,Alfred A. Knopf,{'Brothers'}
4134,Frankenstein Makes a Sandwich,Adam Rex,4.21,152057668,9.78015E+12,eng,40,1911,276,09/01/06,Harcourt,{}
4329,Beowulf: A New Telling,Robert Nye,3.5,440905605,9.78044E+12,eng,94,1690,326,3/15/1982,Dell,{'Beowulf'}
5278,The Diagnosis,Alan Lightman,2.86,375725504,9.78038E+12,eng,384,898,123,2/19/2002,Vintage,{}
5282,True Believer,Nicholas Sparks,3.8,446532436,9.78045E+12,en-US,322,896,77,07/01/09,Warner Books,{}
5377,Quiver,Stephanie Spinner,3.51,440238196,9.78044E+12,en-US,177,837,95,04/12/05,Laurel-Leaf Books,{}
4360,The Chomsky Reader,Noam Chomsky,3.98,1852421177,9.78185E+12,eng,492,1643,38,06/01/88,Serpent's Tail,{}
4592,Quimby The Mouse,Chris Ware,4.09,022407265X,9.78022E+12,en-US,69,1411,32,11/20/2003,Jonathan Cape,
5767,Watchtower (Chronicles of Tornor  #1),Elizabeth A. Lynn,3.57,743498097,9.78074E+12,eng,224,646,35,12/01/04,iBooks,
4892,Girl with a Pearl Earring,Tracy Chevalier,3.88,452284937,9.78045E+12,eng,233,1162,127,9/30/2003,Plume Books,
5334,SantaKid,James Patterson/Michael Garland,3.88,316000612,9.78032E+12,eng,48,862,53,11/01/04,Jimmy Patterson,{}
5202,Cousin Pons,Honoré de Balzac/Herbert J. Hunt,3.98,140442057,9.78014E+12,eng,336,942,48,5/25/1978,Penguin Classics,{}
5410,RG Veda  Vol. 01,CLAMP,3.72,1595324844,9.7816E+12,eng,197,820,31,04/12/05,Tokyopop,{'Fantasy'}
5523,Knowledge And Decisions,Thomas Sowell,4.39,465037380,9.78047E+12,eng,422,766,47,10/04/96,Basic Books,{}
4362,A Tourist Guide to Lancre,Terry Pratchett/Stephen Briggs/Paul Kidby,4.06,552146080,9.78055E+12,eng,32,1640,19,05/01/98,Transworld Publishers,{}
3241,iWoz,Steve Wozniak/Gina Smith,3.87,393061434,9.78039E+12,en-GB,313,3536,375,9/17/2006,W. W. Norton  Company,"{''Inventors'',''Biography'',''Inventors''}"
4435,Tempest in Eden,Sandra Brown,3.48,446616818,9.78045E+12,eng,229,1560,57,04/01/05,Warner Books (NY),{}
5636,The Line Between,Peter S. Beagle,4.12,1892391368,9.78189E+12,eng,231,707,97,8/15/2006,Tachyon Publications,{}
6715,Trauma,Graham Masterton,3.55,451205553,9.78045E+12,en-GB,224,344,43,01/01/02,Signet,{}
4628,Schott's Original Miscellany,Ben Schott/Collin Deckerman,4.08,1582343497,9.78158E+12,eng,158,1379,103,08/04/03,Bloomsbury Publishing PLC,{}
6919,Riddley Walker,Russell Hoban,4.03,074755904X,9.78075E+12,eng,236,305,44,02/01/10,Bloomsbury,{}
3242,When Broken Glass Floats: Growing Up Under the Khmer Rouge,Chanrithy Him,4.14,393322106,9.78039E+12,eng,336,3534,320,4/17/2001,W. W. Norton  Company,{'Biography'}
7225,The Tiny One,Eliza Minot,3.68,037570633X,9.78038E+12,eng,258,248,43,10/17/2000,Vintage,{}
3243,How to Travel with a Salmon and Other Essays,Umberto Eco/William Weaver,3.85,151001367,9.78015E+12,eng,248,3532,153,12/01/94,Houghton Mifflin,{}
3318,The Servants of Twilight / Darkfall / Phantoms,Dean Koontz/Leigh Nichols,4.24,517064871,9.78052E+12,eng,752,3336,24,7/27/1991,Wings,{}
7440,No More Water in the Tub!,Tedd Arnold/Mark Buehner,3.95,140564306,9.78014E+12,eng,32,214,38,12/01/98,Puffin Books,{}
7240,World of Warcraft Atlas,Brady Games,4.09,744004411,9.78074E+12,eng,192,245,5,9/20/2005,BradyGames,
7351,Alien Nation,Alan Dean Foster,3.55,446352640,9.78045E+12,eng,217,227,10,07/01/88,Warner Books,{}
3,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,618260307,9.78062E+12,eng,366,2530894,32871,8/15/2002,Houghton Mifflin,"{''dwarves'',''Dwarfs'',''invisibility'',''Magiciens'',''Schultheater'',''Specimens'',''dwarves'',''wizards'',''trolls'',''invisibility''}"
3319,A Slipping-Down Life,Anne Tyler,3.61,345478959,9.78035E+12,eng,192,3335,142,05/04/04,Ballantine Books,{'Fiction'}
7826,CSS Cookbook,Christopher Schmitt,3.88,596527411,9.7806E+12,en-US,516,164,13,10/24/2006,O'Reilly Media,{}
7948,Filth,Irvine Welsh,3.73,99284294,9.7801E+12,eng,393,148,17,07/01/99,Vintage,
8011,Pipe Dream (Strivers Row),Solomon Jones,3.97,375756604,9.78038E+12,eng,341,139,17,7/31/2001,Villard,"{''Fiction'',''Fiction''}"
3397,A Fighting Man of Mars (Barsoom  #7),Edgar Rice Burroughs,3.84,345345118,9.78035E+12,eng,239,3169,77,10/12/84,Del Rey,{}
8189,The Price of Pleasure (Sutherland Brothers  #2),Kresley Cole,4,743466500,9.78074E+12,en-US,353,118,5,07/01/04,Pocket Books,{}
3420,Annals of the Former World,John McPhee,4.34,374518734,9.78037E+12,eng,720,3115,228,01/06/99,Farrar  Straus and Giroux,{'Geology'}
8379,Rebirth Volume 5,Kang-Woo Lee/Lauren Na,4.03,1591822203,9.78159E+12,eng,184,102,2,12/02/03,TokyoPop,
8479,Binary,John Lange,3.53,394479874,9.78039E+12,eng,213,94,10,12/31/1972,Alfred A. Knopf,{}
8227,The Last Temptation,Nikos Kazantzakis/Peter A. Bien,4.16,571178561,9.78057E+12,eng,589,114,14,11/10/95,Faber  Faber,{}
8705,The Other Woman,Ann  O'Leary,3.64,1562802348,9.78156E+12,eng,213,77,6,4/28/1999,Naiad Press,{}
8886,El Dia Que Nietzsche Lloró,Irvin D. Yalom,4.32,9875801445,9.78988E+12,spa,445,66,4,10/24/2006,Planeta,
8986,The Group,Mary McCarthy,3.66,451025016,9.78045E+12,eng,397,61,17,09/01/64,Signet,{'Women'}
8809,Andreas Gursky,Andreas Gursky/Peter Galassi,4.22,870700162,9.78087E+12,eng,196,70,4,07/02/02,Museum of Modern Art,{}
9136,Bleach  Tome 1: The Death and the Strawberry,Tite Kubo,4.22,2723442276,9.78272E+12,fre,192,54,4,07/02/03,Glénat,
9260,Gunnm Last Order  Tome 01,Yukito Kishiro,4.06,2723439801,9.78272E+12,fre,200,48,2,11/27/2002,Glénat,
3593,The Doom That Came to Sarnath and Other Stories,H.P. Lovecraft/Lin Carter,4.12,345331052,9.78035E+12,eng,208,2774,65,9/13/1991,Del Rey,
9471,Scholar of Decay (Ravenloft  #14),Tanya Huff,3.46,078690206X,9.78079E+12,eng,313,38,1,05/01/00,TSR,{}
3746,Beyond World's End (Bedlam's Bard  #4),Mercedes Lackey/Rosemary Edghill,3.93,671318551,9.78067E+12,en-US,416,2508,22,12/01/01,Baen,{}
3731,Forfeit,Dick Francis,3.94,425201910,9.78043E+12,eng,256,2538,63,04/05/05,G.P. Putnam's Sons,{}
9314,The Martian Chronicles,Ray Bradbury/Ian  Miller,4.14,553011804,9.78055E+12,eng,259,46,2,12/01/06,Bantam Books,{}
9315,Peter Pan,J.M. Barrie/Tim Curry,4.08,743564529,9.78074E+12,eng,5,46,7,10/05/06,Simon  Schuster Audio,
3732,22 Indigo Place,Sandra Brown,3.63,553290851,9.78055E+12,eng,200,2537,79,2/25/1997,Bantam (Fanfare),{'Millionaires'}
9593,Por los pelos,Marian Keyes,3.81,1400002214,9.7814E+12,spa,592,34,5,9/17/2002,Plaza y Janes,{}
9796,Ukraine,Sarah Johnstone,3.91,186450336X,9.78186E+12,eng,216,27,5,07/01/05,Lonely Planet,
10191,Die Naschkatzen,Jennifer Crusie,3.94,3442448964,9.78344E+12,ger,480,15,1,04/01/01,Goldmann Verlag,
9316,The Full Matilda,David Haynes,4,767915690,9.78077E+12,eng,384,46,5,05/11/04,Broadway Books,{}
2971,Ruby the Red Fairy (Rainbow Magic  #1),Daisy Meadows/Georgie Ripper,3.84,043973861X,9.78044E+12,en-US,65,4334,319,05/01/05,Scholastic Inc.,"{''Colors'',''Fairies'',''Colores'',''Rainbow'',''Friendship''}"
9005,The Illuminati,Larry Burkett,3.71,1595540016,20049130001,eng,352,60,8,10/04/04,Thomas Nelson,
9304,Intimacy And Other Stories,Hanif Kureishi,3.58,057121200X,9.78057E+12,eng,205,46,3,07/09/01,Faber and Faber,{}
4580,Beyond Innocence (Beyond Duet  #1),Emma Holly,3.62,515130990,9.78052E+12,en-US,295,1421,68,07/01/01,Jove,{'Fiction'}
4667,Looking for God in Harry Potter,John Granger,4.13,1414306342,9.78141E+12,eng,234,1347,94,2/17/2006,SaltRiver,
9609,Manshape,John Brunner,3.11,879977647,9.78088E+12,eng,159,34,5,9/28/1982,DAW SF,{}
9735,Statesman,Plato/C.J. Rowe,3.85,872204626,9.78087E+12,eng,128,28,7,3/15/1999,Hackett Publishing Company  Inc.,{}
5,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,1416524797,9.78142E+12,eng,736,2418736,21303,04/01/06,Pocket Books,"{''Papas'',''popes'',''papacy'',''Investigation'',''heparin'',''vendetta'',''ambigrams'',''antimatter'',''Papas'',''Physicists'',''Terrorism'',''papacy'',''Illuminés'',''Vendeta'',''Papauté'',''election''}"
8,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78044E+12,eng,870,2153167,29221,09/01/04,Scholastic Inc.,"{''Witchcraft'',''Dueling'',''Schüler'',''Internat'',''Escuelas'',''Existenzkampf'',''England'',''Junge'',''Junge'',''Schools'',''Existenzkampf'',''Magier'',''Magiciens'',''Magia'',''Weissagung'',''Telepathie'',''Wizards'',''England'',''Fantasy''}"
6,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78044E+12,eng,435,2339585,36325,05/01/04,Scholastic Inc.,"{''Junge'',''Hechiceros'',''Verrat'',''fantasy'',''Freundschaft'',''Magia'',''Magiciens'',''Verrat'',''Magiciens'',''Magie'',''Magic'',''Wizards'',''Schools'',''Deutschland'',''Escuelas'',''Schools''}"
7,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,439064864,9.78044E+12,eng,341,2293963,34692,06/02/99,Arthur A. Levine Books / Scholastic Inc.,"{''General'',''Jugendbuch'',''Jugendbuch'',''Family'',''List'',''Deutschland'',''Lebensrettung'',''Magia'',''Kampf'',''Family'',''Magier'',''Juvenile'',''Internat'',''Kampf'',''Juvenile'',''Écoles'',''Wizards'',''Aunts''}"
9,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78062E+12,eng,398,2128944,13670,09/05/03,Houghton Mifflin Harcourt,"{''hope'',''Elves'',''Dwarves'',''friends''}"
10,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,452284244,9.78045E+12,eng,122,2111750,29677,05/06/03,NAL,"{''classic'',''Literature'',''Allegories'',''Allegories''}"
12,Lord of the Flies,William Golding,3.68,140283331,9.78014E+12,eng,182,2036679,26199,10/01/99,Penguin Books,"{''Survival'',''relationships'',''Ethics'',''shipwreck'',''shipwreck'',''relationships'',''morality'',''children'',''thriller'',''regression''}"
11,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78044E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,"{''Magic'',''Magic'',''Englisch'',''magie'',''Merveilleux'',''Magos'',''Escuelas'',''Écoles'',''Fiction'',''Magia'',''Écoles'',''Magos'',''Friendship'',''Magia'',''Magiciens''}"
13,Romeo and Juliet,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.74,743477111,9.78074E+12,eng,368,1893917,14637,01/01/04,Simon Schuster,"{''Quartos'',''Sources'',''Aufführung'',''Translations'',''Juventud'',''Tragedy'',''Juventud'',''Youth'',''Sources'',''Juventud'',''Translations'',''Drama'',''Examinations'',''Tragedy'',''Drama'',''Quartos'',''Plays'',''Theater''}"
14,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan,4.25,786838655,9.78079E+12,eng,375,1766725,47951,03/01/06,Disney Hyperion Books,"{''Adaptations'',''Identity'',''Camps'',''Adaptations''}"
16,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,307277674,9.78031E+12,eng,489,1679706,35877,3/28/2006,Anchor,"{''Romans'',''Mystery'',''Aventures'',''Grail'',''Templars'',''Manuscritos'',''Occultisme'',''Novela'',''Bruderschaft'',''suspense'',''General'',''Religious''}"
15,Of Mice and Men,John Steinbeck,3.87,142000671,9.78014E+12,eng,103,1755253,25554,01/08/02,Penguin Books,"{''classics'',''Literary'',''Cowhands'',''Drifters'',''Vaqueros'',''Vaqueros''}"
18,The Giver (The Giver  #1),Lois Lowry,4.13,385732554,9.78039E+12,eng,208,1585589,56604,1/24/2006,Ember,"{''Memory'',''Classic'',''Ethics''}"
17,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,61122416,9.78006E+12,eng,197,1631221,55843,05/01/93,HarperCollins,"{''Novela'',''Pastores'',''Expeditions'',''Fiction'',''Spirituality''}"
21,Jane Eyre,Charlotte Brontë/Michael Mason,4.12,142437204,9.78014E+12,eng,532,1409369,27884,02/04/03,Penguin,"{''Orphans'',''Adaptations'',''Sources'',''Adaptations'',''Orphans'',''Orphans'',''Bildungsromans'',''Sources''}"
19,The Book Thief,Markus Zusak/Cao Xuân Việt Khương,4.37,375831002,9.78038E+12,eng,552,1516367,86881,3/14/2006,Alfred A. Knopf,"{''Fiction'',''Storytelling'',''Death'',''Rescue'',''Jews'',''Death'',''Sauvetage'',''Histoire''}"
20,Little Women,Louisa May Alcott,4.07,451529308,9.78045E+12,eng,449,1479727,18458,04/06/04,Signet Classics,"{''Orphans'',''Hermanas'',''Hermanas'',''Hermanos'',''American'',''Dictionaries'',''obitelj'',''Jungles'',''ljubav'',''žene'',''Children'',''Hermanas'',''Kids'',''Mothers'',''Familias'',''Animals'',''odrastanje'',''Manners'',''Adaptations'',''Familles'',''odrastanje'',''Legends'',''ljubav'',''Novela''}"
22,Eat  Pray  Love,Elizabeth Gilbert,3.55,143038419,9.78014E+12,eng,368,1362264,47620,02/01/07,Riverhead Books,"{''Influence'',''Anecdotes'',''Travel'',''Influence'',''Travel''}"
23,Memoirs of a Geisha,Arthur Golden,4.11,739326228,9.78074E+12,eng,434,1301083,19296,11/15/2005,Random House Large Print Publishing,"{''Prostitution'',''Geishas'',''Women'',''Japan'',''Women'',''Women'',''Fiction''}"
24,Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,4.17,64410935,9.78006E+12,eng,184,1300470,14739,10/01/01,HarperCollinsPublishers,"{''Swans'',''Mice'',''Fantasy'',''Folklore'',''Blind'',''Farms'',''Amistad'',''Folklore'',''Fantasy'',''Authors'',''Amistad''}"
25,Water for Elephants,Sara Gruen,4.09,1565125606,9.78157E+12,eng,335,1260027,52759,05/01/07,Algonquin Books,"{''Circo'',''fiction'',''romance'',''romance'',''Orphans'',''Depressions'',''Orphans''}"
10906,Puzzle Pack: The Witch of Blackbird Pond,Mary B. Collins,1,1583377824,9.78158E+12,eng,134,2,0,8/15/2005,Teacher's Pet Publications  Inc.,
10907,The Play Soldier,Chet Green,4.5,159113644X,9.78159E+12,eng,328,2,2,5/22/2011,Booklocker.com  Inc.,
26,Brave New World,Aldous Huxley,3.99,60929871,9.78006E+12,eng,288,1247221,20014,09/01/98,HarperPerennial / Perennial Classics,"{''Gesellschaft'',''Classics'',''future'',''Dystopian'',''Collectivism'',''Ciencia'',''Ficción'',''Fiction'',''future'',''Dystopias'',''Dystopias'',''Propaganda'',''Dystopias'',''Capitalism''}"
27,The Notebook (The Notebook  #1),Nicholas Sparks,4.09,553816713,9.78055E+12,eng,214,1090603,15272,07/05/04,Bantam,"{''Kärlek'',''Novela'',''Ancianos''}"
28,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,1400032717,9.7814E+12,eng,226,1054308,35537,5/18/2004,Vintage,"{''Novela'',''Plays'',''Autisme'',''Dogs'',''Plays'',''Dogs'',''Autisme'',''Ficción'',''Plays'',''Ficción'',''Literature'',''Novela'',''Mutterentbehrung'',''Ficción'',''Puzzles'',''Mutterentbehrung'',''Psychology'',''Ficción'',''General'',''In''}"
29,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Mark Twain/Guy Cardwell/John Seelye/Walter Trier,3.82,142437174,9.78014E+12,eng,327,1049912,11391,12/31/2002,Penguin Classics,"{''Garçons'',''literature'',''Manuscripts'',''Specimens'',''Histoire'',''Voyage'',''Slaves'',''Amours'',''friendship'',''humor'',''Personnages'',''Sœurs'',''Manuscripts'',''Travel'',''garcons'',''Histoire'',''Fiction''}"
30,The Secret Life of Bees,Sue Monk Kidd,4.05,142001740,9.78014E+12,eng,302,1044725,26279,1/28/2003,Penguin Books,"{''Literature'',''Fiction'',''Secrets'',''Sisters''}"
31,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.07,385333846,9.78039E+12,eng,275,1001671,19056,01/12/99,Dial Press,"{''Animals'',''Drama'',''Drama''}"
32,Gone with the Wind,Margaret Mitchell,4.29,446675539,9.78045E+12,eng,1037,999139,15323,04/01/99,Warner Books,"{''history'',''History'',''Historical'',''Drama'',''History'',''Bildungsroman''}"
33,My Sister's Keeper,Jodi Picoult,4.07,743454537,9.78074E+12,eng,423,986711,29652,02/01/05,Washington Square Press,"{''Bruising'',''Adolescentes'',''Hermanas'',''Leucemia'',''Family'',''Women'',''Blood'',''Transplantation'',''Leukemia'',''Sisters'',''Teenagers'',''Needles'',''Blood'',''Famille'',''Leucémiques'',''Adolescentes'',''Transfusions'',''Patients'',''Transfusions'',''Leukemia'',''Transplants'',''Ficción'',''Sisters'',''Famille''}"
34,The Shining,Stephen King,4.22,450040186,9.78045E+12,eng,659,978535,15105,07/01/80,New English Library (Hodder & Stoughton),"{''Fiction'',''roque'',''hotelkeepers'',''Family'',''precognition'',''authors'',''ghosts'',''precognition'',''Hotels''}"
35,Holes (Holes  #1),Louis Sachar,3.96,439244196,9.78044E+12,eng,233,887554,17547,09/02/00,Scholastic,"{''Lesen'',''Überleben'',''Jugendbuch'',''Freundschaft'',''Flucht'',''Fiction'',''Straflager'',''Deserts'',''Flucht''}"
36,The Glass Castle,Jeannette Walls,4.27,074324754X,9.78074E+12,eng,288,808656,46176,1/17/2006,Scribner,"{''Poverty'',''Itinérance'',''Alcoholism'',''Poor'',''Survival'',''Survival'',''Pauvreté''}"
37,Into the Wild,Jon Krakauer,3.98,385486804,9.78039E+12,eng,207,800349,18198,1/20/1997,Anchor Books,"{''Adventurers'',''Journeys'',''Biography'',''Travel'',''Hitchhiking'',''Hitchhiking'',''Hitchhiking'',''Hitchhiking''}"
38,Dracula,Bram Stoker/Nina Auerbach/David J. Skal,3.99,393970124,9.78039E+12,eng,488,774987,14944,05/12/86,Norton,"{''British'',''FICTION'',''Vampires'',''Literature'',''Monsters'',''French'',''FICTION'',''Monsters''}"
39,The Secret Garden,Frances Hodgson Burnett,4.13,517189607,9.78052E+12,eng,331,764134,11796,09/01/98,Children's Classics,"{''Fiction'',''History'',''Jardines'',''Garten'',''Gardens'',''Selbsterziehung'',''Readers'',''Chinese'',''Jardins'',''Jardines'',''Literature'',''French'',''Garten'',''Huérfanos''}"
3071,Bait and Switch: The (Futile) Pursuit of the American Dream,Barbara Ehrenreich,3.48,805081240,9.78081E+12,eng,248,4002,473,7/25/2006,St. Martin's Press,"{''Unemployed'',''Unemployed'',''Unemployed''}"
40,The Odyssey,Homer/Robert Fagles/Bernard Knox,3.76,143039954,9.78014E+12,eng,541,760871,6557,11/30/2006,Penguin Classics,"{''Readers'',''Literature'',''Literature'',''Adaptations'',''Homer'',''Poetry'',''Homer'',''Literature'',''Adaptations'',''Epic'',''Drama'',''Poesía'',''Poetry'',''Diseases''}"
41,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,4.08,375751513,9.78038E+12,eng,272,760717,17179,06/01/04,Random House: Modern Library,"{''Classics'',''Readers'',''Fiction'',''Education'',''Hedonism''}"
42,The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.74,307275558,9.78031E+12,eng,432,744569,7247,5/30/2006,Anchor Books,"{''Supervisors'',''Revistas'',''Publishing''}"
43,The Princess Bride,William Goldman,4.26,345418263,9.78035E+12,eng,456,703676,13878,7/15/2003,Ballantine Books,{'Princesses'}
44,Outlander (Outlander  #1),Diana Gabaldon,4.23,440242940,9.78044E+12,eng,850,673350,34690,7/26/2005,Dell Publishing Company,{'Fiction'}
45,The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain/Guy Cardwell/John Seelye,3.91,143039563,9.78014E+12,eng,244,667590,6783,2/28/2006,Penguin Classics,"{''ADULT'',''Juvenile'',''Boys'',''Runaways'',''Spanish'',''Manuscripts'',''Movies'',''Adventurerers'',''Translations'',''Adventures'',''Theater'',''Paperback'',''Niños'',''Stories'',''Classic'',''Spanish'',''Adventure'',''Witnesses'',''Hardcover'',''Muchachos''}"
46,The Count of Monte Cristo,Alexandre Dumas/Robin Buss,4.25,140449264,9.78014E+12,eng,1276,647271,14249,5/27/2003,Penguin Classics,"{''Readers'',''Histoire'',''france'',''Readers'',''Piratas'',''Historia'',''Fiction'',''Readers'',''Pirates'',''Venganza'',''Marineros''}"
47,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.41,553381695,9.78055E+12,eng,969,638766,16535,5/28/2002,Bantam,"{''Fantasy'',''Epic'',''Revenge'',''Brothers'',''Betrayal'',''Revenge'',''Brothers''}"
48,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,316346624,9.78032E+12,eng,301,633037,11898,01/07/02,Back Bay Books,"{''Erfolg'',''Vernieuwing'',''Vernieuwing'',''PSYCHOLOGY'',''Causalité'',''Vernieuwing'',''Causalité''}"
49,The Sea of Monsters (Percy Jackson and the Olympians  #2),Rick Riordan,4.24,786856866,9.78079E+12,eng,279,630511,19806,04/01/06,Hyperion Books,"{''Adaptations'',''Viajes'',''Quakers'',''Identity''}"
50,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,61234001,9.78006E+12,eng,320,628745,13034,10/17/2006,William Morrow,"{''education'',''teachers'',''collusion'',''Finance'',''cheating'',''Finance'',''Business'',''Nonfiction''}"
51,And Then There Were None,Agatha Christie,4.26,312330871,9.78031E+12,eng,264,625767,18785,05/03/04,St. Martin's Press,"{''Millionaires'',''Islands'',''murder''}"
52,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,4.25,451528824,9.78045E+12,eng,320,625759,13883,05/06/03,Signet Book,"{''Teaching'',''Literature'',''French'',''French'',''Imagination'',''Teaching'',''Amitié'',''Islands'',''Anne'',''Literature'',''Friendship'',''Friendship''}"
53,The Poisonwood Bible,Barbara Kingsolver,4.06,60786507,9.78006E+12,eng,546,613758,19846,07/05/05,Harper Perennial Modern Classics,"{''Literature'',''Literature'',''Racism'',''Family'',''Families''}"
54,The Scarlet Letter,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,3.4,142437263,9.78014E+12,eng,279,609586,10402,2/27/2003,Penguin Books,"{''Mujeres'',''Adultery'',''Readers'',''Novela'',''Mujeres'',''Novela'',''Revenge'',''Fiction'',''Adulterio'',''Revenge'',''Immigrantes'',''Frau'',''Examinations'',''Immigrantes'',''Mujeres''}"
