6014,Beatrice's Goat,Page McBrier/Lori Lohstoeter/Hillary Rodham Clinton,4.25,689869908,9.78069E+12,eng,40,546,113,07/01/04,Aladdin,{}
6015,Redburn,Herman Melville/Harold Beaver,3.62,140431055,9.78014E+12,eng,448,545,53,8/26/1976,Penguin Classics,"{'General', 'Americans', 'Fiction'}"
6016,Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),Ravi Zacharias,3.95,1590528603,9.78159E+12,en-US,94,545,52,06/01/06,Multnomah Books,{}
6017,Experiencing Father's Embrace,Jack Frost,4.33,768423481,9.78077E+12,eng,256,545,44,04/01/06,Destiny Image Incorporated,"{'Nonfiction', 'Nonfiction', 'Christianity'}"
6018,Visiting Mrs Nabokov and Other Excursions,Martin Amis,3.7,99461870,9.7801E+12,eng,288,545,16,04/07/05,Vintage,{}
6019,Wither (Wendy Ward  #1),J.G. Passarella,3.71,671024817,9.78067E+12,eng,438,545,40,03/01/00,Pocket Books,{}
6020,I Heard That Song Before,Mary Higgins Clark,3.82,743264916,9.78074E+12,eng,318,545,69,04/03/07,Simon & Schuster,"{'Fiction', 'Rich', 'Rich', 'Gardner'}"
6021,Think Like a Cat: How to Raise a Well-Adjusted Cat—Not a Sour Puss,Pam Johnson-Bennett,4.06,965013014,9.78097E+12,eng,413,543,69,1/24/2000,Penguin Books,{'Literatura'}
6022,Cygnet (Cygnet  #1-2),Patricia A. McKillip,4.07,441014836,9.78044E+12,en-US,406,543,35,03/06/07,Ace Books,{}
6023,Prisoner's Dilemma,Richard Powers,3.87,60977086,9.78006E+12,en-US,352,543,45,04/02/02,Harper Perennial,"{'Families', 'Families', 'Veterans'}"
6024,Letters to a Young Artist,Anna Deavere Smith,4.02,1400032385,9.7814E+12,eng,240,543,50,1/24/2006,Anchor,{'Miscellanea'}
6025,Giving Good Weight,John McPhee,4.23,374516006,9.78037E+12,eng,288,542,36,04/01/94,Farrar  Straus and Giroux,{}
6026,Cruelest Journey: Six Hundred Miles To Timbuktu,Kira Salak,3.93,792274571,9.78079E+12,eng,320,542,65,11/01/04,National Geographic Society,{}
6027,The Apple that Astonished Paris,Billy Collins,4.2,155728024X,9.78156E+12,eng,61,542,43,02/01/99,University of Arkansas Press,{'General'}
6028,Paris: After the Liberation 1944-1949,Antony Beevor/Artemis Cooper,3.83,142437921,9.78014E+12,eng,464,542,48,8/31/2004,Penguin Books,"{'Nonfiction', 'History', 'History'}"
6029,The Heart of a Leader,Kenneth H. Blanchard,3.96,1562924885,9.78156E+12,en-US,162,542,33,06/01/99,David C. Cook,{'Leadership'}
6030,Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,4,226307824,9.78023E+12,eng,255,541,15,1/15/1992,University of Chicago Press,{'General'}
6031,Master and Commander (Aubrey/Maturin   #1),Patrick O'Brian,4.1,393325172,9.78039E+12,en-US,459,541,95,10/17/2003,W. W. Norton  Company,{}
6032,Queen of the Underworld,Gail Godwin,2.89,345483197,9.78035E+12,eng,368,541,100,1/30/2007,Ballantine Books,{}
6033,Mistletoe,Hailey Abbott/Melissa de la Cruz/Aimee Friedman/Nina Malkin,3.41,439863686,9.78044E+12,eng,222,541,57,10/01/06,Scholastic Paperbacks,{}
6034,A Confederacy of Dunces,John Kennedy Toole,3.89,140282688,9.78014E+12,eng,397,540,47,2/26/2003,Penguin Books  Limited (UK),"{'sons', 'housing'}"
6035,The Great World,David Malouf,3.88,99273861,9.7801E+12,eng,336,539,33,5/20/1999,Vintage,{'Fiction'}
6036,Grendel: Devil by the Deed,Matt Wagner/Rich Rankin/Chris Pitzer/Diana Schutz,4.08,159307736X,9.78159E+12,eng,48,539,29,3/27/2007,Dark Horse Comics,{}
6037,Chemistry: The Central Science,Theodore L. Brown/H. Eugene LeMay Jr./Bruce E. Bursten,3.88,130669970,9.78013E+12,eng,1046,539,16,5/17/2002,Prentice Hall,"{'Chimie', 'Chemie', 'Chemie'}"
6038,Blood Meridian,Cormac McCarthy,4.17,330312561,9.78033E+12,eng,335,539,62,08/03/07,Picador USA,{'Fiction'}
6039,English Passengers,Matthew Kneale,4.06,140285210,9.78014E+12,en-GB,462,537,65,4/26/2001,Penguin,{'Fiction'}
6040,The Eight,Katherine Neville,3.91,345419081,9.78035E+12,eng,624,536,60,6/23/1997,Ballantine Books,{}
6041,Betraying Spinoza: The Renegade Jew Who Gave Us Modernity,Rebecca Goldstein,3.92,805242090,9.78081E+12,en-US,304,536,79,5/30/2006,Schocken,"{'Nonfiction', 'Nonfiction'}"
6042,A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,Nancy Holyoke/Ali Douglass,4.14,1593691033,9.78159E+12,en-GB,95,536,65,03/01/06,American Girl Publishing Inc,{}
6043,The Autograph Man,Zadie Smith,3.16,140276343,9.78014E+12,eng,420,535,66,5/22/2003,Penguin Books Ltd,"{'Autographs', 'Autographs'}"
6044,The Scarlet Letter,Nathaniel Hawthorne,3.4,074326469X,9.78074E+12,eng,538,534,11,08/02/05,Kaplan,"{'History', 'Readers', 'Femmes', 'Histoire', 'Ehebruch', 'Puritains', 'Readers', 'Puritanos', 'General', 'Frau', 'Vengeance', 'Puritans', 'Vengeance', 'Spanish', 'Adulterio', 'Immigrantes'}"
6045,Shadow of the Moon (Moon #5),Rebecca York,3.79,042520961X,9.78043E+12,eng,336,534,25,06/06/06,Berkley Sensation,{'Fiction'}
6046,Aphrodite's Passion (Superhero Central #2),Julie Kenner,3.62,505524740,9.78051E+12,eng,352,534,33,04/01/02,Love Spell,{'Aphrodisiacs'}
6047,Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),Cornelia Funke/Helena Ragg-Kirkby,3.93,439862698,9.78044E+12,eng,176,534,32,04/01/07,Chicken House,{'Monsters'}
6048,Blame It on the Brain: Distinguishing Chemical Imbalances  Brain Disorders  and Disobedience,Edward T. Welch,4.05,875526020,9.78088E+12,eng,204,534,50,06/01/98,P & R Publishing,"{'Diseases', 'Christianity'}"
6049,The Thorn Birds,Colleen McCullough,4.23,60837551,9.78006E+12,eng,673,533,66,09/06/05,Avon Books,"{'Priests', 'Clergy', 'Clergy'}"
6050,Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,Bart D. Ehrman,3.64,195307135,9.7802E+12,en-US,207,533,50,5/18/2006,Oxford University Press  USA,{}
6051,Trainspotting (Mark Renton  #2),Irvine Welsh,4.09,393057240,9.78039E+12,en-US,340,533,45,10/17/2002,W. W. Norton  Company,"{'Drogenabhängigkeit', 'Ficción', 'Drogenabhängigkeit'}"
6052,Dear Genius: The Letters of Ursula Nordstrom,Ursula Nordstrom/Leonard S. Marcus/Maurice Sendak,4.4,64462358,9.78006E+12,eng,406,533,112,3/31/2000,HarperCollins,"{'Editors', 'Publishing'}"
6053,Lidia's Family Table,Lidia Matticchio Bastianich/David Nussbaum/Christopher Hirsheimer,4.22,1400040353,9.7814E+12,eng,448,532,23,11/23/2004,Knopf Publishing Group,
6054,Philosophy for Dummies,Tom Morris,3.65,764551531,9.78076E+12,eng,361,532,47,9/17/1999,For Dummies,{}
6055,War and the Iliad,Simone Weil/Rachel Bespaloff/Mary McCarthy/Christopher E.G. Benfey/Hermann Broch,4.04,1590171454,9.78159E+12,eng,121,532,57,3/31/2005,NYRB Classics,{}
6056,Pictures by J.R.R. Tolkien,J.R.R. Tolkien/Christopher Tolkien,4.47,395606489,9.7804E+12,eng,102,531,14,10/01/92,Houghton Mifflin,{}
6057,The Collapse of the Third Republic,William L. Shirer,4.21,306805626,9.78031E+12,eng,1082,531,40,3/21/1994,Da Capo Press,"{'France', 'Weltkrieg'}"
6058,Myth and Reality,Mircea Eliade/Willard R. Trask,4.08,1577660099,9.78158E+12,en-US,204,531,11,06/01/98,Waveland Press,{'Mythen'}
6059,The Skeptic's Dictionary: A Collection of Strange Beliefs  Amusing Deceptions  and Dangerous Delusions,Robert Todd Carroll,4.02,471272426,9.78047E+12,eng,446,531,11,07/01/03,Wiley,"{'Pseudoscience', 'Nonfiction'}"
6060,The Fantasy Worlds of Peter Beagle,Peter S. Beagle,4.21,345289676,9.78035E+12,eng,430,530,35,09/12/79,Del Rey,
6061,The Handmaid's Tale,Margaret Atwood,4.11,435124099,9.78044E+12,en-GB,308,529,59,09/01/09,Heinemann Library,"{'Scrabble', 'brothels', 'revolution', 'Femmes', 'Misogyny', 'Dystopias', 'totalitarianism', 'theocracy', 'revolution', 'totalitarianism', 'brothels', 'Misogynie', 'Fiction'}"
6062,Only the Ring Finger Knows: The Left Hand Dreams of Him (Only the Ring Finger Knows  #2),Satoru Kannagi/Hotaru Odagiri,3.94,1569708851,9.78157E+12,eng,242,529,17,07/05/06,Digital Manga Publishing,"{'Gay', 'Manga', 'Fiction'}"
6063,The Sons,Franz Kafka/Edwin Muir/Willa Muir/Eithne Wilkins/Ernst Kaiser/Mark Anderson/Arthur S. Wensinger,3.95,805208860,9.78081E+12,eng,167,529,37,08/05/89,Schocken,{}
6064,Who Was Mark Twain?,April Jones Prince/Nancy Harrison/John   O'Brien,4.16,448433192,9.78045E+12,eng,112,529,56,5/24/2004,Grosset & Dunlap,{'Biography'}
6065,Sahara (Dirk Pitt  #11),Clive Cussler,3.96,671521101,9.78067E+12,en-US,576,528,34,03/01/95,Pocket Books,{'Ficción'}
6066,Sense and Sensibility,Jane Austen/Claire Lamont/Ros Ballaster,4.07,140434259,9.78014E+12,eng,346,528,39,01/01/96,Penguin Classics,"{'Histoire', 'Marriage', 'Marriage', 'Histoire', 'Marriage', 'History', 'General', 'Classic', 'Sœurs', 'Histoire', 'Fiction', 'Fiction'}"
6067,A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,4.39,142302333,9.78014E+12,eng,1008,527,12,9/16/2002,Puffin,{}
6068,As I Crossed a Bridge of Dreams: Recollections of a Woman in Eleventh-Century Japan,Lady Sarashina/Ivan Morris,3.82,140442820,9.78014E+12,eng,148,527,54,1/30/1975,Penguin Classics,"{'Biography', 'Biographies'}"
6069,The Pyramid,William Golding,3.33,571192521,9.78057E+12,eng,217,527,20,7/22/1997,Faber  Faber,"{'Villages', 'Villages'}"
6070,The Commanders,Bob Woodward,3.71,743234758,9.78074E+12,eng,400,527,26,01/01/02,Simon & Schuster,{}
6071,Earthbound,Logan Swanson/Richard Matheson,3.25,765311712,9.78077E+12,eng,223,527,60,4/16/2005,Tor Books,{}
6072,Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,Stewart Brand,4.1,465007805,9.78047E+12,eng,208,526,63,04/06/00,Basic Books,"{'Computers', 'Computers'}"
6073,Dissecting Marilyn Manson,Gavin Baddeley,3.86,859653722,9.78086E+12,eng,192,526,9,10/01/07,Plexus Publishing,{}
6074,The Ballet Companion: A Dancer's Guide to the Technique  Traditions  and Joys of Ballet,Eliza Gaynor Minden,4.35,074326407X,9.78074E+12,eng,333,524,40,10/11/05,Touchstone,{}
6075,Jane Austen For Dummies,Joan Elizabeth Klingel Ray,4.03,470008296,9.78047E+12,eng,362,524,62,08/01/06,John Wiley,{}
6076,Holding On to the Air,Suzanne Farrell/Toni Bentley,4.09,813025931,9.78081E+12,eng,352,524,40,9/25/2002,University Press of Florida,{'Biography'}
6077,Wartime Lies,Louis Begley,3.71,449001172,9.78045E+12,eng,240,524,54,10/15/1997,Ballantine Books,{'Arzt'}
6078,Symptomatic,Danzy Senna,3.32,1594480672,9.78159E+12,eng,220,523,65,02/01/05,Riverhead Books,{}
6079,Watership Down,Richard  Adams,4.06,60935456,9.78006E+12,eng,479,522,80,5/15/2001,HarperPerennial,"{'Leadership', 'war', 'Cartoons', 'Cartoons', 'war', 'Cartoons'}"
6080,Macbeth,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.9,743482794,9.78074E+12,eng,272,522,35,08/01/04,Simon  Schuster,"{'Dramatik', 'Art', 'Drama', 'Vendetta', 'regicide', 'Art', 'Illustrations', 'Tragedy', 'Succession', 'Succession', 'Dominanzstreben', 'Art', 'Intrige', 'Tragedies', 'Drama'}"
6081,The Omega Cage (Matador  #4),Steve Perry/Michael Reaves,3.78,441623824,9.78044E+12,eng,256,522,18,04/01/88,Ace,
6082,Radio Fifth Grade,Gordon Korman,3.55,590419277,9.78059E+12,eng,192,522,47,08/01/91,Scholastic Paperbacks,"{'Schools', 'Schools', 'Schools'}"
6083,A Backward Glance,Edith Wharton/Louis Auchincloss,3.76,684847558,9.78068E+12,eng,385,521,77,7/15/1998,Scribner,"{'Biographies', 'Autobiographie', 'Autobiographie'}"
6084,Tomie 2  富江 Part 2,Junji Ito/伊藤潤二,3.86,1588990850,9.78159E+12,eng,247,521,32,04/04/05,ComicsOne Corporation,
6085,Peril's Gate (Wars of Light & Shadow #6; Arc 3 - Alliance of Light  #3),Janny Wurts,4.16,61054674,9.78006E+12,en-US,940,521,8,01/01/03,HarperCollins Publishers,{'Fantasy'}
6086,All Over You (Secret Lives of Daytime Divas  #2),Sarah Mayberry,3.73,373793243,9.78037E+12,eng,251,521,35,3/27/2007,Harlequin Blaze,"{'Passion', 'Fiction'}"
6087,In Favor of the Sensitive Man and Other Essays,Anaïs Nin,4.02,156444453,9.78016E+12,eng,180,520,40,04/01/76,Mariner Books,{}
6088,On the Origins of War and the Preservation of Peace,Donald Kagan,4.01,385423756,9.78039E+12,eng,573,520,30,01/01/96,Anchor,{}
6089,The Chocolate-Covered Contest (Nancy Drew  #151),Carolyn Keene,3.89,067103443X,9.78067E+12,en-US,160,520,17,09/01/99,Aladdin,
6090,The Tenants of Moonbloom,Edward Lewis Wallant/Dave Eggers,3.88,1590170709,9.78159E+12,en-US,264,520,78,11/30/2003,NYRB Classics,{}
6091,Fear and Trembling and The Sickness Unto Death,Søren Kierkegaard/Walter Lowrie,4.1,691019622,9.78069E+12,eng,420,519,36,11/21/1968,Princeton University Press,"{'Foi', 'PECADO', 'Zonde', 'Pecado', 'Gehorsam', 'Morale'}"
6092,Satan: His Psychotherapy and Cure by the Unfortunate Dr. Kassler  J.S.P.S.,Jeremy Leven,4.13,059514506X,9.7806E+12,eng,496,519,52,11/01/00,Backinprint.com,{}
6093,Plato's Symposium,Plato/Seth Benardete/Allan Bloom,4.04,226042758,9.78023E+12,eng,199,519,32,02/01/01,University of Chicago Press,"{'Kommentar', 'Rhétorique', 'Philosophie', 'Collections', 'Rhétorique', 'Mythology', 'Friendship', 'Friendship'}"
6094,Bringing Down The House,Ben Mezrich,3.89,99468239,9.7801E+12,en-GB,320,518,61,05/06/04,Arrow,"{'Cardsharping', 'Cardsharping'}"
6095,The Sound and the Fury,William Faulkner,3.86,679600175,9.78068E+12,eng,368,518,80,09/05/92,Modern Library,"{'Aufsatzsammlung', 'Burial', 'Facsimiles'}"
6096,The Story of Philosophy: A Concise Introduction to the World's Greatest Thinkers and Their Ideas,Bryan Magee,4.14,751333328,9.78075E+12,eng,240,518,45,11/01/05,DK Publishing (Dorling Kindersley),
6097,Star Wars: Rebellion  Vol. 1: My Brother  My Enemy,Rob Williams/Michel Lacombe,3.94,1593077114,9.78159E+12,eng,128,518,23,2/27/2007,Dark Horse,
6098,One Tiny Turtle,Nicola Davies/Jane Chapman,4.13,763623113,9.78076E+12,eng,32,518,102,6/14/2005,Candlewick Press,{}
6099,The BFG: A Set of Plays,Roald Dahl/David Wood,4.26,142407925,9.78014E+12,eng,128,518,48,02/01/07,Puffin Books,"{'Orphans', 'Drama', 'Drama'}"
6100,The Secret Garden,Frances Hodgson Burnett/Alison Lurie,4.13,142437050,9.78014E+12,en-GB,288,517,13,1/30/2003,Penguin Classics,"{'Friendship', 'Enfants', 'Orphans', 'Gardens', 'Fiction', 'Gardens'}"
6101,Maggie: A Girl of the Streets and Other Short Fiction,Stephen Crane/Jayne Anne Phillips,3.33,553213555,9.78055E+12,eng,240,517,37,11/01/06,Bantam Classics,"{'History', 'Sources', 'FICTION', 'FICTION', 'Fiction'}"
6102,China Court: The Hours of a Country House,Rumer Godden,3.97,688117228,9.78069E+12,eng,358,516,77,12/31/1993,William Morrow & Company,"{'Families', 'History'}"
6103,I Who Have Never Known Men,Jacqueline Harpman/Ros Schwartz,4.09,380731819,9.78038E+12,eng,206,516,71,07/01/98,Harper Voyager,{}
6104,War and Peace,Leo Tolstoy/Orlando Figes/Anthony Briggs,4.11,143039997,9.78014E+12,eng,1408,516,113,12/01/06,Penguin Books,"{'Classic', 'Literature', 'Fiction', 'History', 'Campaigns'}"
6105,Loveless  Vol. 1: A Kin of Homecoming,Brian Azzarello/Marcelo Frusín,3.32,1401210619,9.7814E+12,eng,128,516,52,05/01/06,Vertigo,"{'Veterans', 'Veterans'}"
6106,Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,3.92,262540428,9.78026E+12,eng,212,515,37,11/21/1984,MIT Press,{'Determinisme'}
6107,The Black Tower (Philip José Farmer's The Dungeon  #1),Richard A. Lupoff/Bruce Coville/Philip José Farmer/Charles de Lint/Robin Wayne Bailey/Robert Gould,3.29,553273469,9.78055E+12,eng,339,515,19,07/01/88,Spectra Books,{}
6108,In the Beginning: The Story of the King James Bible and How it Changed a Nation  a Language  and a Culture,Alister E. McGrath,3.97,385722168,9.78039E+12,eng,354,515,76,2/19/2002,Anchor,"{'Influence', 'Protestantisme', 'Anglicanisme'}"
6109,Plato in 90 Minutes,Paul Strathern,3.23,1566631270,9.78157E+12,eng,89,515,63,09/01/96,Ivan R. Dee Publisher,{}
6110,The Shattered Land (Eberron: The Dreaming Dark  #2),Keith Baker,3.65,786938218,9.78079E+12,eng,374,515,21,02/07/06,Wizards of the Coast,{'Fiction'}
6111,El plan infinito,Isabel Allende,3.72,60951273,9.78006E+12,spa,336,514,33,5/14/2002,Harper Perennial,{}
6112,Siddhartha,Hermann Hesse,4.02,613572742,9.78061E+12,eng,132,514,40,02/02/93,Turtleback Books,"{'Skönlitteratur', 'Classics', 'Teachings', 'Literature', 'Mythology', 'Ficción'}"
6113,To the Lighthouse,Virginia Woolf/Mark Hussey,3.78,156030470,9.78016E+12,eng,242,514,59,08/01/05,Mariner Books,"{'Manuscripts', 'Sommerfrische', 'Sommerfrische', 'Death', 'Phares', 'Widowers', 'Großfamilie', 'Translations'}"
6114,Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City  #4-6),Armistead Maupin,4.44,60166495,9.78006E+12,eng,720,514,11,11/26/1991,Harper,{}
6115,The Three Musketeers (Classic Starts),Oliver Ho/Jamel Akib/Alexandre Dumas/Arthur Pober,4.12,1402736959,9.7814E+12,eng,151,514,31,02/01/07,Sterling Publishing Co.  Inc.,"{'Prisoners', 'Prisoners', 'History'}"
6116,Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank,3.86,520242459,9.78052E+12,eng,221,513,71,10/18/2004,University of California Press,{'Quotations'}
6117,Vagabond  Volume 20,Takehiko Inoue,4.41,1591165830,9.78159E+12,eng,224,513,12,3/15/2005,VIZ Media LLC,
6118,Banvard's Folly: Thirteen Tales of People Who Didn't Change the World,Paul  Collins,3.98,312300336,9.78031E+12,eng,320,513,70,05/03/02,Picador,{'Biography'}
6119,The Origin of Species/The Voyage of the Beagle,Charles Darwin/Richard Dawkins,4.15,1400041279,9.7814E+12,eng,1024,513,34,10/14/2003,Everyman's Library,{'Evolution'}
6120,Encyclopedia Brown and the Case of the Sleeping Dog (Encyclopedia Brown  #21),Donald J. Sobol/Warren Chang,4.04,553485172,9.78055E+12,en-US,80,512,13,09/07/99,Yearling Books,{}
6121,The Gremlins,Roald Dahl/Artists and Writers Guild/Walt Disney Company/Leonard Maltin,3.44,1593074964,9.78159E+12,eng,56,511,65,9/26/2006,Dark Horse Books,{'Fiction'}
6122,The Silence of the Lambs,Yvonne Tasker,4.27,851708714,9.78085E+12,eng,96,510,14,3/29/2002,British Film Institute,{}
6123,Journeys in English,Bill Bryson,3.72,563496266,9.78056E+12,eng,3,510,60,02/02/04,BBC Physical Audio,
6124,Naked Lunch: The Restored Text,William S. Burroughs,3.46,7204442,9.78001E+12,eng,289,509,65,05/03/05,HarperCollins Publishers,"{'Fiction', 'Fiction'}"
6125,Desert Children,Waris Dirie/Corinna Milborn/Sheelagh Alabaster,3.71,1844082520,9.78184E+12,en-US,240,509,25,11/01/05,Virago UK,{}
6126,A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit  Nine That Fired Me  and Three I Can't Remember,Iain Levison,3.83,812967941,9.78081E+12,eng,164,509,81,04/08/03,Random House Trade,{'Employment'}
6127,The Diviners,Rick Moody,3.03,316013277,9.78032E+12,eng,592,508,65,01/02/07,Back Bay Books,{'Dowsers'}
6128,The Collection: The Outsiders / Rumble Fish / That Was Then  This Is Now,S.E. Hinton,4.45,6751156,9.78001E+12,eng,448,507,31,06/01/95,HarperCollins Publishers,"{'violence', 'Orphans', 'Individuality', 'Brothers', 'Family', 'Fiction', 'Individuality', 'Fiction', 'Superheroes'}"
6129,Ultimate Punishment,Scott Turow,3.81,031242373X,9.78031E+12,eng,176,506,50,08/01/04,St. Martins Press-3PL,{'Doodstraf'}
6130,Feel the Fear . . . and Do It Anyway,Susan  Jeffers,4.03,345487427,9.78035E+12,eng,217,506,53,12/26/2006,Ballantine Books,"{'Miedo', 'Anxiety', 'Nonfiction'}"
6131,Leading with a Limp: Turning Your Struggles Into Strengths,Dan B. Allender,4.04,1578569508,9.78158E+12,eng,206,506,52,5/16/2006,Waterbrook Press,{'Christianity'}
6132,Blackberry Wine,Joanne Harris,3.8,552998001,9.78055E+12,eng,334,506,55,04/01/01,Black Swan,"{'British', 'Brewing', 'Reminiscing'}"
6133,Complete Novels and Stories,Kate Chopin/Sandra M. Gilbert,4.28,1931082219,9.78193E+12,eng,1075,506,24,9/30/2002,Library of America,"{'Fiction', 'Literature', 'Literature', 'racism', 'Psychology', 'divorce', 'Creoles', 'Psychology'}"
6134,The Sheik & the Princess Bride (Desert Rogues  #8),Susan   Mallery,3.95,373246471,9.78037E+12,eng,256,506,22,10/25/2004,Silhouette Special Edition,"{'Romance', 'Princesses'}"
6135,The Chain of Chance,Stanisław Lem/Louis Iribarne,3.7,810117304,9.78081E+12,en-US,179,505,37,3/28/2000,Northwestern University Press,{}
6136,Lonesome Dove,Larry McMurtry,4.49,068487122X,9.78068E+12,eng,864,505,63,11/10/00,Simon & Schuster,"{'cowboys', 'cowboys', 'Cowboys'}"
6137,Mansfield Park,Jane Austen,3.86,140620664,9.78014E+12,eng,479,505,54,5/26/1994,Penguin,"{'Uncles', 'Cousins', 'Primos', 'Englisch', 'Primos', 'Englisch'}"
6138,The Acme Novelty Datebook  Vol. 1  1986-1995,Chris Ware,4.17,1896597661,9.7819E+12,eng,208,504,23,11/26/2013,Drawn and Quarterly,{}
6139,Cat Cross Their Graves (Joe Grey  #10),Shirley Rousseau Murphy,4.32,60578114,9.78006E+12,eng,385,504,28,9/27/2005,Avon,{}
6140,The Possessed,Fyodor Dostoyevsky/Constance Garnett/Elizabeth Dalton,4.27,1593082509,9.78159E+12,eng,768,504,52,02/01/05,Barnes & Noble,"{'Terrorists', 'Romans', 'Novela', 'Novela', 'Nihilismo'}"
6141,Autobiographies: Narrative of the Life of Frederick Douglass / My Bondage and My Freedom / Life and Times of Frederick Douglass,Frederick Douglass/Henry Louis Gates Jr.,4.35,940450798,9.78094E+12,eng,1132,504,36,02/01/94,Library of America,"{'Slaves', 'Abolitionists'}"
6142,Pedro Páramo,Juan Rulfo,4.05,8433920707,9.78843E+12,spa,122,504,44,10/31/2013,Anagrama,{}
6143,The Forgotten,Elie Wiesel/Stephen Becker,3.94,805210199,9.78081E+12,eng,320,503,36,1/31/1995,Schocken Books Inc,{}
6144,Nuns and Soldiers,Iris Murdoch/Karen Armstrong,3.93,142180092,9.78014E+12,eng,512,503,34,7/30/2002,Penguin Classics,"{'Artists', 'Widows', 'Artists'}"
6145,Middlemarch,George Eliot/Megan McDaniel/Lynne Sharon Schwartz/Lynn Sharon Schwartz,3.96,1593080239,9.78159E+12,eng,848,503,121,04/01/03,Barnes  Noble Classics,"{'Readers', 'Literature', 'Scholars', 'Readers'}"
6146,A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy/Peter Sekirin,4.07,684837935,9.78068E+12,eng,384,502,43,10/14/1997,Scribner,{}
6147,My Wicked Pirate,Rona Sharon,3.9,821780573,9.78082E+12,eng,432,502,33,11/01/06,Zebra,"{'Fiction', 'Pirates'}"
6148,Anatomy of Love: A Natural History of Mating  Marriage  and Why We Stray,Helen Fisher,3.94,449908976,9.78045E+12,en-US,432,501,36,01/03/94,Ballantine Books,"{'Marriage', 'Marriage'}"
6149,The Truth Will Set You Free: Overcoming Emotional Blindness and Finding Your True Adult Self,Alice   Miller/Andrew Edwin Jenkins,4.06,465045855,9.78047E+12,eng,224,501,32,12/10/02,Basic Books,{}
6150,Philosophy Made Simple,Robert Hellenga,3.39,031601334X,9.78032E+12,eng,304,501,84,03/01/07,Back Bay Books,{'Philosophers'}
6151,King Richard II,William Shakespeare/Charles R. Forker,3.77,1903436338,9.7819E+12,eng,593,501,43,3/21/2002,Bloomsbury Arden Shakespeare,{'Toneel'}
