bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,subject
54,The Scarlet Letter,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,3.4,142437263,9.78E+12,eng,279,609586,10402,2/27/2003,Penguin Books,"{'Mujeres', 'Adultery', 'Readers', 'Novela', 'Mujeres', 'Novela', 'Revenge', 'Fiction', 'Adulterio', 'Revenge', 'Immigrantes', 'Frau', 'Examinations', 'Immigrantes', 'Mujeres'}"
55,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,4.02,521618746,9.78E+12,eng,289,609271,7139,08/01/05,Cambridge University Press,"{'Adaptations', 'Tragedy', 'Princes', 'Literature', 'Shakespeare', 'Blacks', 'Adaptations', 'Bibliography', 'Teatro', 'Miscellanea', 'Muerte', 'Theater', 'Príncipes', 'Literature', 'Adaptations', 'Homicide', 'Adaptations'}"
56,The Road,Cormac McCarthy,3.97,307265439,9.78E+12,eng,241,606433,34301,9/26/2006,Alfred A. Knopf,"{'Ethics', 'Disasters', 'Novels', 'Adventure', 'Travel', 'Robinsonades', 'Apocalypse', 'Dystopia'}"
57,Confessions of a Shopaholic (Shopaholic  #1),Sophie Kinsella,3.64,440241413,9.78E+12,eng,368,603675,10079,11/04/03,Dell Publishing Company,"{'Literature', 'Bildungsromans'}"
58,The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien/Peter S. Beagle,4.44,618346260,9.78E+12,eng,322,593467,5798,09/05/03,Houghton Mifflin,"{'Fiction', 'Fiction'}"
59,Macbeth,William Shakespeare,3.9,743477103,9.78E+12,eng,249,592315,7791,07/01/13,Simon  Schuster,"{'Art', 'Youth', 'Literature', 'Art', 'Succession', 'Dominanzstreben', 'Succession', 'Sources', 'Mennonites', 'Regicides', 'Youth', 'Succession', 'Succession', 'Adaptations', 'kings', 'Intrige', 'Sources', 'History', 'Mennonites', 'Dramatik', 'Mennonites', 'Adaptations'}"
60,The Joy Luck Club,Amy Tan,3.92,143038095,9.78E+12,eng,288,565524,7255,9/21/2006,Penguin Books,"{'Literary', 'California', 'Literature', 'Sagas'}"
61,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl/Quentin Blake,4.13,142403881,9.78E+12,eng,176,558799,7239,06/02/05,Puffin Books,"{'Fiction', 'OverDrive', 'OverDrive', 'Romans', 'Fiction', 'Behavior', 'Fiction'}"
62,A Walk to Remember,Nicholas Sparks,4.17,446693804,9.78E+12,eng,240,555995,10173,09/01/04,Grand Central Publishing,{}
63,Emma,Jane Austen/Fiona Stafford,4,141439580,9.78E+12,eng,474,549271,11117,05/06/03,Penguin Books,"{'Humorous', 'Bildungsromans', 'Readers', 'Bildungsromans', 'Readers'}"
64,Matilda,Roald Dahl/Quentin Blake,4.31,141301066,9.78E+12,eng,240,541914,11576,06/01/98,Puffin Books,"{'Filles', 'Schools', 'Girls', 'Muchachas', 'Girls'}"
65,The Firm,Robin Waterfield/John Grisham,4.01,582418275,9.78E+12,eng,76,540910,3378,2/15/2000,Addison Wesley Publishing Company,{}
66,Middlesex,Jeffrey Eugenides,4,312422156,9.78E+12,eng,529,540349,19548,9/16/2003,Picador USA,"{'Einwanderer', 'Hermaphroditism', 'Intersexuality', 'Einwanderer', 'Hermaphrodites'}"
67,The Memory Keeper's Daughter,Kim Edwards,3.67,143037145,9.78E+12,eng,401,535636,17550,5/30/2006,Penguin Books,"{'Twins', 'Ficción', 'Literature'}"
68,The Five People You Meet in Heaven,Mitch Albom,3.93,1401308589,9.78E+12,eng,196,520051,16562,9/23/2003,Hyperion,"{'Readers', 'Religious', 'Muerte', 'diners', 'Heaven', 'Mort', 'Accidents', 'Ancianos'}"
69,Uglies (Uglies  #1),Scott Westerfeld,3.86,689865384,9.78E+12,eng,425,516152,20708,02/08/05,Simon Pulse,{'Friendship'}
70,Dear John,Nicholas Sparks,4.03,446528056,9.78E+12,eng,276,502726,9645,10/30/2006,Warner Books (NY),"{'Soldiers', 'Fiction'}"
71,Crime and Punishment,Fyodor Dostoyevsky/David McDuff,4.21,143058142,9.78E+12,eng,671,483122,10265,12/31/2002,Penguin,"{'Guilt', 'Psychological', 'Crime', 'Guilt'}"
72,The Red Tent,Anita Diamant,4.17,312353766,9.78E+12,eng,336,470858,15859,11/01/05,St. Martin's Press,"{'Fiction', 'Fiction'}"
73,Something Borrowed (Darcy & Rachel  #1),Emily Giffin,3.85,031232118X,9.78E+12,eng,322,454917,7487,06/01/04,St. Martin's Press,{}
74,Jurassic Park (Jurassic Park  #1),Michael Crichton,4.02,030734813X,9.78E+12,spa,480,451443,3647,04/04/06,Plaza y Janes,"{'paleobotanists', 'Dinosaurios', 'biotechnologists', 'Dinosaurios', 'backdoor', 'dichogamy', 'biotechnologists', 'dinosaurs'}"
75,The Color Purple,Alice Walker,4.2,671727796,9.78E+12,eng,295,445206,9643,04/01/04,Pocket,"{'Fiction', 'Vrouwenemancipatie', 'Vrouwenemancipatie', 'Noires', 'Noires'}"
76,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,4.14,192802631,9.78E+12,eng,249,441462,11308,3/18/2004,Oxford University Press,"{'Courtship', 'Literature', 'Officers', 'Literature', 'Sœurs'}"
77,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,316010669,9.78E+12,eng,296,437507,12937,04/03/07,Back Bay Books,"{'Intuición', 'Intuïtie', 'History', 'Nonfiction', 'Besluitvorming', 'Recovery', 'Intuición', 'PSYCHOLOGY', 'Pensée'}"
78,Interview with the Vampire (The Vampire Chronicles  #1),Anne Rice,3.99,345476875,9.78E+12,eng,342,433413,7368,8/31/2004,Ballantine Books,"{'Fiction', 'Vampiros', 'Vampiros'}"
79,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey/Jim Collins,4.1,743269519,9.78E+12,eng,372,431987,7024,11/09/04,Free Press,"{'Selbsterziehung', 'Character', 'Efficiency', 'Leidinggeven', 'Succès', 'Éxito', 'Succès', 'Character', 'Éxito', 'Logro', 'Erfolg', 'Ontwikkelingspsychologie', 'Exito'}"
80,Misery,Stephen King,4.16,450417395,9.78E+12,eng,370,429510,7051,11/01/88,New English Library,"{'abuse', 'Prisoners', 'Fiction', 'Literary', 'prisoner', 'abuse', 'prisoner', 'Prisoners', 'Writers', 'prisoner', 'Novelists', 'thriller'}"
81,The Devil in the White City: Murder  Magic  and Madness at the Fair That Changed America,Erik Larson/Tony Goldwyn,3.99,739303406,9.78E+12,eng,447,421575,23793,02/11/03,Random House Audio Publishing Group,"{'Architectes', 'Criminals', 'Architectes', 'Biography', 'Urban', 'Murder', 'Murder', 'Architects', 'Murder'}"
82,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,739461192,9.78E+12,eng,291,414947,12116,10/18/2005,William Morrow; 1ST edition,"{'Biography', 'Pets', 'Biography', 'Biography'}"
83,Coraline,Neil Gaiman/Dave McKean,4.06,61139378,9.78E+12,eng,162,403622,13096,8/29/2006,William Morrow Paperbacks,{}
84,Marked (House of Night  #1),P.C. Cast/Kristin Cast,3.8,312360266,9.78E+12,eng,306,399152,12748,05/01/07,St. Martin's Press,{'Fiction'}
85,Fight Club,Chuck Palahniuk,4.19,393327345,9.78E+12,eng,218,388782,9654,10/17/2005,W.W. Norton & Company (NYC),"{'Aggressiveness', 'Fiction'}"
86,American Gods (American Gods  #1),Neil Gaiman,4.11,747263744,9.78E+12,eng,635,383045,15962,03/04/05,Headline Review,"{'Bodyguards', 'Americana', 'mythology', 'Americana', 'Americana'}"
87,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel/Martin Gardner,4.07,451527747,9.78E+12,eng,239,381097,6041,12/01/00,Penguin Group (USA),"{'Flickor', 'readers', 'animals', 'Fantasiresor', 'legends', 'History', 'Specimens', 'rabbits', 'friendship', 'texts', 'illustrations'}"
88,Never Let Me Go,Kazuo Ishiguro,3.82,1400078776,9.78E+12,eng,288,380646,22957,8/31/2010,Vintage Books,"{'Reminiscing', 'Friendship', 'Women'}"
89,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,307346609,9.78E+12,eng,342,370331,20582,09/12/06,Crown,"{'Survival', 'Humor', 'Humor', 'Ficción', 'Zombies'}"
90,Along Came a Spider (Alex Cross  #1),James Patterson,4.11,446692638,9.78E+12,eng,449,369267,4011,08/01/03,Grand Central Publishing,"{'OverDrive', 'Police'}"
91,The Bourne Identity (Jason Bourne  #1),Robert Ludlum,4.02,752864327,9.78E+12,eng,566,368195,3556,3/24/2005,Orion,{}
92,The Client,John Grisham,4,385339089,9.78E+12,eng,483,367399,1978,3/16/2010,Delta,"{'FBI', 'Mafija', 'Fiction', 'Brothers', 'lawyers', 'lawyers', 'Avocates', 'USA', 'Fiction', 'Suicidés'}"
93,Alice in Wonderland,Lewis Carroll/Jane Carruth/Rene Cloke,4.03,517223627,9.78E+12,eng,92,364782,5234,09/07/04,Gramercy Books,"{'friendship', 'curiosity', 'Imagination', 'Enfants', 'novela', 'english', 'friendship', 'Geologi', 'logic', 'History', 'texts', 'curiosidad', 'tea', 'Theft', 'readers'}"
94,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,3.98,590920685,9.78E+12,eng,232,364091,8754,09/01/98,Scholastic Books,"{'fiction', 'Fantasy', 'Obedience', 'fiction'}"
95,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.17,385494785,9.78E+12,eng,368,351406,11701,10/19/1999,Anchor Books,{'History'}
96,Foundation (Foundation  #1),Isaac Asimov,4.16,553803719,9.78E+12,eng,244,349846,6561,06/01/04,Bantam,"{'Robots', 'Robots', 'Robots'}"
97,A Light in the Attic,Shel Silverstein,4.34,60513063,9.78E+12,eng,176,349247,2567,10/07/02,Harpercollins Childrens Books,"{'Classics', 'Humor', 'Kinderlyrik', 'Classics', 'Kinderlyrik', 'Kinderlyrik'}"
98,A Tree Grows in Brooklyn,Betty  Smith,4.26,61120073,9.78E+12,eng,496,345283,16114,5/30/2006,HarperCollins Publishers,{}
99,Neverwhere (London Below  #1),Neil Gaiman,4.17,60557818,9.78E+12,eng,370,345122,15199,09/02/03,William Morrow Paperbacks,"{'Rats', 'Fantasy'}"
100,The Pelican Brief,John Grisham,4,385339704,9.78E+12,eng,400,340714,1942,4/25/2006,Delta,"{'Mystery', 'Judges', 'Fiction', 'liberalism', 'Judges'}"
101,Flowers for Algernon,Daniel Keyes,4.12,156030306,9.78E+12,eng,311,337596,9949,05/01/05,Harvest Books,"{'Surgery', 'institutionalization', 'Brain', 'Surgery', 'institutionalization', 'Surdoués', 'Fiction', 'institutionalization', 'Readers', 'phenylketonuria'}"
102,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,618711651,9.78E+12,eng,326,335477,19241,04/04/06,Mariner Books,"{'Geborgenheit', 'Fiction'}"
103,Can You Keep a Secret?,Sophie Kinsella,3.84,440241901,9.78E+12,eng,374,333613,9326,12/27/2005,Dell Publishing Company,{'Romance'}
104,James and the Giant Peach,Roald Dahl/Quentin Blake,4.01,375814248,9.78E+12,eng,146,328542,4733,09/10/02,Alfred A. Knopf,"{'Peaches', 'Orphans', 'Crystals', 'Readers', 'Imagination', 'Boys', 'Peach', 'Adolescent', 'Juvenile', 'Humor', 'Lonely', 'Orphans', 'Boys', 'Juvenile', 'Make', 'Literature'}"
105,Love in the Time of Cholera,Gabriel García Márquez/Edith Grossman,3.91,140003468X,9.78E+12,eng,348,324487,13070,10/05/03,Vintage International,"{'Ficción', 'Fiction', 'Romans'}"
106,Inkheart (Inkworld  #1),Cornelia Funke/Anthea Bell,3.88,439709105,9.78E+12,eng,563,324482,9360,06/01/05,Scholastic Paperbacks,"{'Authorship', 'Fantasy', 'Fantasy', 'Bookbinding', 'Bookbinders'}"
107,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,452011876,9.78E+12,eng,1168,322483,14702,08/01/99,Plume,"{'Individuality', 'Egoism', 'Individuality', 'Egoism'}"
108,Heart of Darkness,Joseph Conrad,3.42,1892295490,9.78E+12,eng,188,321078,8423,10/01/03,Green Integer,"{'Romance', 'Europeans', 'Degeneration', 'Drama', 'Doppelgängers', 'Degeneration', 'Sailors', 'Spanish', 'Romans', 'Korean', 'Souffrance', 'Romance', 'Journeys', 'Drama', 'Degeneration', 'Suffering'}"
109,Treasure Island,Robert Louis Stevenson,3.83,753453800,9.78E+12,eng,311,318753,6734,9/15/2001,Kingfisher,"{'Shipwrecks', 'Kidnapping', 'English', 'Kidnapping', 'French', 'Trésors', 'French', 'Dictionaries', 'Specimens', 'buccaneers', 'Readers', 'Literature', 'Mutiny', 'English', 'Fiction', 'Mutiny', 'Piratas', 'Treasuretrove'}"
110,Who Moved My Cheese?,Spencer Johnson/Kenneth H. Blanchard,3.8,91883768,9.78E+12,eng,96,311436,8421,02/07/02,Vermilion,"{'Change', 'Teenagers', 'Mice', 'Fiction'}"
111,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,307279464,9.78E+12,eng,397,308840,14993,12/26/2006,Anchor Books,{}
